"","ID","feature","betas","RT_PE","RT"
"1","29","RPE",0.105994093895806,"SIDE_PE",-0.00278984883241759
"2","29","RPE",0.105994093895806,"ID_PE",-0.158106890082418
"3","8","RPE",0.767544320720336,"SIDE_PE",0.274555777291667
"4","8","RPE",0.767544320720336,"ID_PE",-0.107717737958333
"5","27","RPE",0.308412475046887,"SIDE_PE",0.04718823
"6","27","RPE",0.308412475046887,"ID_PE",-0.101731391
"7","9","RPE",0.471310651149083,"SIDE_PE",-0.115167955335714
"8","9","RPE",0.471310651149083,"ID_PE",-0.0919982715857143
"9","11","RPE",0.30538596687403,"SIDE_PE",0.00370763323214285
"10","11","RPE",0.30538596687403,"ID_PE",-0.0660700080178571
"11","7","RPE",0.404396043391516,"SIDE_PE",0.262218033299603
"12","7","RPE",0.404396043391516,"ID_PE",-0.0367509042003968
"13","18","RPE",0.375742654042263,"SIDE_PE",0.0788034592857143
"14","18","RPE",0.375742654042263,"ID_PE",-0.0365050607142857
"15","22","RPE",0.246003870501432,"SIDE_PE",-0.100077235379487
"16","22","RPE",0.246003870501432,"ID_PE",-0.0360517545461539
"17","5","RPE",0.586825474724179,"SIDE_PE",0.0534504478035714
"18","5","RPE",0.586825474724179,"ID_PE",-0.0275368493214286
"19","4","RPE",0.29342852707077,"SIDE_PE",-0.0197912781785714
"20","4","RPE",0.29342852707077,"ID_PE",-0.0228838156785714
"21","26","RPE",0.459556595869561,"SIDE_PE",0.0421087268696429
"22","26","RPE",0.459556595869561,"ID_PE",-0.0183696735678571
"23","24","RPE",0.406141898240346,"SIDE_PE",0.113468762946429
"24","24","RPE",0.406141898240346,"ID_PE",-0.0158378990535714
"25","19","RPE",0.694696678676276,"SIDE_PE",0.329434083125
"26","19","RPE",0.694696678676276,"ID_PE",-0.010269593125
"27","12","RPE",0.676114820518086,"SIDE_PE",0.118034047292857
"28","12","RPE",0.676114820518086,"ID_PE",-0.00136378110714286
"29","20","RPE",0.259710088087944,"SIDE_PE",-0.0496249574642857
"30","20","RPE",0.259710088087944,"ID_PE",0.0261307500357143
"31","25","RPE",-0.169188732495493,"SIDE_PE",0.291946439642857
"32","25","RPE",-0.169188732495493,"ID_PE",0.0263230858928571
"33","17","RPE",0.0140687964166451,"SIDE_PE",0.00652675924999999
"34","17","RPE",0.0140687964166451,"ID_PE",0.02781703425
"35","10","RPE",0.583533161714797,"SIDE_PE",0.180467089892857
"36","10","RPE",0.583533161714797,"ID_PE",0.0434819173928571
"37","21","RPE",0.476871290645361,"SIDE_PE",0.0951171777861953
"38","21","RPE",0.476871290645361,"ID_PE",0.060856218827862
"39","30","RPE",0.719058020298645,"SIDE_PE",0.0975778233589286
"40","30","RPE",0.719058020298645,"ID_PE",0.0644666846089286
"41","14","RPE",0.945275772217377,"SIDE_PE",-0.0149945422883598
"42","14","RPE",0.945275772217377,"ID_PE",0.0749102078491402
"43","28","RPE",0.148341833316107,"SIDE_PE",0.0666852726236264
"44","28","RPE",0.148341833316107,"ID_PE",0.0914796851236264
"45","13","RPE",1.02358612248994,"SIDE_PE",0.192918699821429
"46","13","RPE",1.02358612248994,"ID_PE",0.118379372321429
"47","15","RPE",0.0399211580578667,"SIDE_PE",0.240822260357143
"48","15","RPE",0.0399211580578667,"ID_PE",0.122017154107143
"49","1","RPE",0.7071878919054,"SIDE_PE",0.260719090714286
"50","1","RPE",0.7071878919054,"ID_PE",0.137071655714286
"51","3","RPE",0.563525589993891,"SIDE_PE",0.0772455230357143
"52","3","RPE",0.563525589993891,"ID_PE",0.150673616785714
"53","16","RPE",0.856277505788048,"SIDE_PE",0.231667958642857
"54","16","RPE",0.856277505788048,"ID_PE",0.256611572392857
"55","23","RPE",0.679265481187464,"SIDE_PE",0.258753532916667
"56","23","RPE",0.679265481187464,"ID_PE",0.297473315
