"","ID","roi","mean_diff"
"2","1","Cuneus",0.0126031120063401
"6","1","IPS",0.297584414306809
"10","1","LOC",0.476293943463653
"14","1","STG",0.342632986925034
"18","3","Cuneus",0.513802526222409
"22","3","IPS",-0.0346834424664002
"26","3","LOC",-0.242421921756539
"30","3","STG",0.363053541143469
"34","4","Cuneus",-0.657851875063185
"38","4","IPS",-0.142345499247314
"42","4","LOC",-0.478192654169268
"46","4","STG",-0.378519700123838
"50","5","Cuneus",-0.148236385014067
"54","5","IPS",0.130062595711034
"58","5","LOC",-0.546647156443861
"62","5","STG",1.03554586704693
"66","6","Cuneus",0.095628868530149
"70","6","IPS",-0.21879293772885
"74","6","LOC",0.109213947025301
"78","6","STG",0.608702444832605
"82","7","Cuneus",0.977151089806447
"86","7","IPS",0.00516628715045231
"90","7","LOC",-0.00722427748971505
"94","7","STG",0.209049141272292
"98","8","Cuneus",1.07880930551264
"102","8","IPS",0.840237161473312
"106","8","LOC",0.428413313185727
"110","8","STG",1.36311290087703
"114","9","Cuneus",-0.456193687258395
"118","9","IPS",-0.499559036773794
"122","9","LOC",-0.334194190634622
"126","9","STG",0.10096351480568
"130","10","Cuneus",-0.18700953775384
"134","10","IPS",-0.519000759841326
"138","10","LOC",-0.878640630951631
"142","10","STG",-0.410048999369928
"146","11","Cuneus",-0.295408324062846
"150","11","IPS",-0.4025632683626
"154","11","LOC",-0.250765469449537
"158","11","STG",-1.05669468717191
"162","12","Cuneus",0.286035203781159
"166","12","IPS",0.074285705036977
"170","12","LOC",0.556366199917264
"174","12","STG",0.222097187434681
"178","13","Cuneus",0.498936678220293
"182","13","IPS",0.263937978402657
"186","13","LOC",0.658963953565671
"190","13","STG",0.36801503091531
"194","14","Cuneus",-0.220152419246952
"198","14","IPS",0.19583337079076
"202","14","LOC",-0.130914119165391
"206","14","STG",0.105102028953747
"210","15","Cuneus",0.685497810015852
"214","15","IPS",0.660927618842791
"218","15","LOC",0.39049128887278
"222","15","STG",1.55985862255242
"226","16","Cuneus",0.924140943330535
"230","16","IPS",0.355071819047718
"234","16","LOC",1.48979033667732
"238","16","STG",0.779300345311384
"242","17","Cuneus",0.193832475300859
"246","17","IPS",0.126015460447353
"250","17","LOC",0.934049305168016
"254","17","STG",-0.150284313117274
"258","18","Cuneus",-0.372160861690238
"262","18","IPS",-0.0175132278352978
"266","18","LOC",-0.163029715694763
"270","18","STG",-0.58352670272644
"274","19","Cuneus",-0.38668691230249
"278","19","IPS",-0.230647990282844
"282","19","LOC",-0.155506774576174
"286","19","STG",-0.554152242561406
"290","20","Cuneus",0.6702754609747
"294","20","IPS",0.374084017173771
"298","20","LOC",0.344206823601767
"302","20","STG",1.40694406926663
"306","21","Cuneus",-0.298098544336469
"310","21","IPS",-0.20474944940823
"314","21","LOC",-0.217422685220286
"318","21","STG",-0.754810951476534
"322","22","Cuneus",1.63417135756648
"326","22","IPS",0.943247331810348
"330","22","LOC",2.06125217713416
"334","22","STG",0.26135310941355
"338","23","Cuneus",0.145782218205112
"342","23","IPS",-0.15480608273955
"346","23","LOC",-0.0758584182571479
"350","23","STG",-0.902050588313296
"354","24","Cuneus",0.651549653612956
"358","24","IPS",0.376126105206854
"362","24","LOC",1.0429891248958
"366","24","STG",0.337098982609968
"370","25","Cuneus",-0.196547192054901
"374","25","IPS",-0.238860266436549
"378","25","LOC",-0.813027555136769
"382","25","STG",0.22771709473339
"386","26","Cuneus",0.303573928782892
"390","26","IPS",0.100712610079962
"394","26","LOC",-0.036751920260764
"398","26","STG",0.811198910383328
"402","27","Cuneus",-0.12195618477827
"406","27","IPS",-0.0825206862324302
"410","27","LOC",-0.134360590259786
"414","27","STG",-0.173965948701287
"418","28","Cuneus",0.708962845505498
"422","28","IPS",-0.285627668811118
"426","28","LOC",0.862795676980857
"430","28","STG",-0.334387084824981
"434","29","Cuneus",0.134052111789175
"438","29","IPS",0.628635360662113
"442","29","LOC",0.0983429757188299
"446","29","STG",0.241220878684383
"450","30","Cuneus",-0.56533636577082
"454","30","IPS",-0.200514871944838
"458","30","LOC",-0.316595106454634
"462","30","STG",0.123705177156482
