"","US_ID","ID","outcome_liking"
"1","salty",1,9
"2","sweet",1,8
"3","salty",3,7.33333333333333
"4","sweet",3,8
"5","salty",4,6.66666666666667
"6","sweet",4,8
"7","salty",5,7.66666666666667
"8","sweet",5,7.33333333333333
"9","salty",6,9.33333333333333
"10","sweet",6,9.66666666666667
"11","salty",7,7.66666666666667
"12","sweet",7,8
"13","salty",8,7.33333333333333
"14","sweet",8,7.33333333333333
"15","salty",9,6.66666666666667
"16","sweet",9,5.33333333333333
"17","salty",10,7
"18","sweet",10,7.33333333333333
"19","salty",11,7.66666666666667
"20","sweet",11,6
"21","salty",12,7
"22","sweet",12,8
"23","salty",13,8.66666666666667
"24","sweet",13,9
"25","salty",14,5.33333333333333
"26","sweet",14,5.66666666666667
"27","salty",15,6.66666666666667
"28","sweet",15,7
"29","salty",16,6
"30","sweet",16,6.33333333333333
"31","salty",17,7.66666666666667
"32","sweet",17,7.66666666666667
"33","salty",18,6.66666666666667
"34","sweet",18,8.66666666666667
"35","salty",19,8.33333333333333
"36","sweet",19,6.66666666666667
"37","salty",20,7.33333333333333
"38","sweet",20,6.66666666666667
"39","salty",21,8
"40","sweet",21,7.66666666666667
"41","salty",22,9
"42","sweet",22,9.66666666666667
"43","salty",23,9.33333333333333
"44","sweet",23,6.66666666666667
"45","salty",24,4.66666666666667
"46","sweet",24,7.33333333333333
"47","salty",25,7.33333333333333
"48","sweet",25,6.66666666666667
"49","salty",26,6
"50","sweet",26,7.66666666666667
"51","salty",27,7.33333333333333
"52","sweet",27,6.66666666666667
"53","salty",28,6.66666666666667
"54","sweet",28,8.33333333333333
"55","salty",29,9.33333333333333
"56","sweet",29,7.66666666666667
"57","salty",30,7
"58","sweet",30,9.33333333333333
