"","ID","ROI","accuracy"
"1",1,"Cuneus",0.741666666666667
"2",3,"Cuneus",0.683333333333333
"3",4,"Cuneus",0.625
"4",5,"Cuneus",0.55
"5",6,"Cuneus",0.6
"6",7,"Cuneus",0.916666666666667
"7",8,"Cuneus",0.783333333333333
"8",9,"Cuneus",0.525
"9",10,"Cuneus",0.516666666666667
"10",11,"Cuneus",0.508333333333333
"11",12,"Cuneus",0.533333333333333
"12",13,"Cuneus",0.483333333333333
"13",14,"Cuneus",0.55
"14",15,"Cuneus",0.8
"15",16,"Cuneus",0.575
"16",17,"Cuneus",0.608333333333333
"17",18,"Cuneus",0.416666666666667
"18",19,"Cuneus",0.7
"19",20,"Cuneus",0.575
"20",21,"Cuneus",0.508333333333333
"21",22,"Cuneus",0.541666666666667
"22",23,"Cuneus",0.633333333333333
"23",24,"Cuneus",0.575
"24",25,"Cuneus",0.658333333333333
"25",26,"Cuneus",0.566666666666667
"26",27,"Cuneus",0.516666666666667
"27",28,"Cuneus",0.691666666666667
"28",29,"Cuneus",0.516666666666667
"29",30,"Cuneus",0.933333333333333
"30",1,"IPS",0.5
"31",3,"IPS",0.525
"32",4,"IPS",0.491666666666667
"33",5,"IPS",0.483333333333333
"34",6,"IPS",0.508333333333333
"35",7,"IPS",0.691666666666667
"36",8,"IPS",0.55
"37",9,"IPS",0.55
"38",10,"IPS",0.591666666666667
"39",11,"IPS",0.533333333333333
"40",12,"IPS",0.475
"41",13,"IPS",0.475
"42",14,"IPS",0.583333333333333
"43",15,"IPS",0.491666666666667
"44",16,"IPS",0.475
"45",17,"IPS",0.533333333333333
"46",18,"IPS",0.475
"47",19,"IPS",0.575
"48",20,"IPS",0.575
"49",21,"IPS",0.575
"50",22,"IPS",0.508333333333333
"51",23,"IPS",0.65
"52",24,"IPS",0.616666666666667
"53",25,"IPS",0.566666666666667
"54",26,"IPS",0.525
"55",27,"IPS",0.525
"56",28,"IPS",0.558333333333333
"57",29,"IPS",0.541666666666667
"58",30,"IPS",0.566666666666667
"59",1,"LOC",0.658333333333333
"60",3,"LOC",0.575
"61",4,"LOC",0.55
"62",5,"LOC",0.55
"63",6,"LOC",0.591666666666667
"64",7,"LOC",0.733333333333333
"65",8,"LOC",0.525
"66",9,"LOC",0.416666666666667
"67",10,"LOC",0.45
"68",11,"LOC",0.475
"69",12,"LOC",0.4
"70",13,"LOC",0.441666666666667
"71",14,"LOC",0.533333333333333
"72",15,"LOC",0.575
"73",16,"LOC",0.575
"74",17,"LOC",0.533333333333333
"75",18,"LOC",0.508333333333333
"76",19,"LOC",0.566666666666667
"77",20,"LOC",0.491666666666667
"78",21,"LOC",0.516666666666667
"79",22,"LOC",0.575
"80",23,"LOC",0.558333333333333
"81",24,"LOC",0.433333333333333
"82",25,"LOC",0.566666666666667
"83",26,"LOC",0.616666666666667
"84",27,"LOC",0.441666666666667
"85",28,"LOC",0.491666666666667
"86",29,"LOC",0.475
"87",30,"LOC",0.525
"88",1,"SMG",0.4875
"89",3,"SMG",0.491666666666667
"90",4,"SMG",0.479166666666667
"91",5,"SMG",0.541666666666667
"92",6,"SMG",0.4625
"93",7,"SMG",0.608333333333333
"94",8,"SMG",0.5125
"95",9,"SMG",0.508333333333333
"96",10,"SMG",0.4875
"97",11,"SMG",0.425
"98",12,"SMG",0.504166666666667
"99",13,"SMG",0.491666666666667
"100",14,"SMG",0.533333333333333
"101",15,"SMG",0.529166666666667
"102",16,"SMG",0.516666666666667
"103",17,"SMG",0.5
"104",18,"SMG",0.529166666666667
"105",19,"SMG",0.516666666666667
"106",20,"SMG",0.545833333333333
"107",21,"SMG",0.5125
"108",22,"SMG",0.508333333333333
"109",23,"SMG",0.566666666666667
"110",24,"SMG",0.5
"111",25,"SMG",0.5
"112",26,"SMG",0.504166666666667
"113",27,"SMG",0.429166666666667
"114",28,"SMG",0.525
"115",29,"SMG",0.533333333333333
"116",30,"SMG",0.516666666666667
